Name of gas well;Methan, %;Oxygen, %;Сarbon dioxide, %;Сarbon monoxide, %;Hydrogen sulfide, ppm
ГС 1.1;7,2;16,7;5,8;10;11
ГС 1.3;6,6;16,9;5,2;14;12
ГС 1.4;54,9;0,4;41,9;294;207
ГС 1.5;34,0;7,6;25,0;172;138
ГС 1.6***;10,3;15,2;8,1;10;10
ГС 1.7***;10,6;15,3;8,6;10;11
ГС 1.8***;10,4;15,1;8,5;10;10
ГС 2.1;2,1;18,4;1,7;42;36
ГС 2.2;3,4;17,8;2,4;27;22
ГС 2.3;0,0;19,1;0,1;22;20
ГС 2.4;12,6;16,3;9,6;114;81
ГС 2.5;7,9;16,8;5,1;49;34
ГС 2.6;41,3;4,9;31,3;297;257
ГС 2.7;0,0;18,8;0,4;60;55
ГС 2.8;6,1;17,4;3,8;18;18
ГС 2.9;0,0;19,3;0,1;6;12
ГС 3.1;6,9;15,7;6,1;24;18
ГС 3.2;56,0;0,5;41,1;718;495
ГС 3.3;0,0;16,5;0,2;71;40
ГС 3.4;56,6;0,2;41,3;437;266
ГС 3.5;55,6;0,3;41,7;139;112
ГС 3.6;12,7;14,3;9,3;20;14
ГС 3.7;57,0;2,9;39,9;614;460
ГС 3.8;15,5;13,3;11,0;70;33
ГС 3.9;12,5;4,4;8,7;36;19
ГСк 4.0;56,5;0,2;41,5;1120;757
ГСк 4.1;56,4;0,1;41,5;1150;841
ГСк 4.2;56,2;0,2;41,3;400;205
ГСк 4.3;57,7;0,1;39,7;175;80
ГСк 4.4;56,8;0,1;40,9;136;62
ГСк 4.5;55,4;0,0;42,3;105;65
ГСк 4.6;54,7;0,0;43,0;1100;668
ГСк 4.7;54,1;0,0;43,4;865;475
ГСк 4.8;53,7;0,0;43,9;1180;>1000
ГСк 5.0 (на;18,9;12,7;15,3;3;21
ГСт);;;;;
ГСк 5.0 (на оголовке газовой;54,7;0,3;43,1;13;18
скважины);;;;;
ГСк 5.1 (на;1,6;18,7;1,7;28;38
ГСт);;;;;
ГСк 5.1 (на оголовке газовой;52,8;0,3;45,1;1100;>1000
скважины);;;;;
ГСк 5.2;53,8;0,1;44,3;1090;713
ГСк 5.3;53,9;0,1;44,1;1100;798
ГСк 5.7 (на;1,0;19,0;1,1;175;60
ГСт);;;;;
ГСк 5.7 (на оголовке газовой;55,1;0,3;42,0;577;316
скважины);;;;;
ГСк 5.8;53,9;0,2;43,0;1200;968
ГСк 5.9;53,9;0,1;43,0;1087;833
ГСк 6.0;52,7;0,1;44,1;1056;468
ГСк 6.1;54,3;0,4;42,6;472;184
ГСк 6.2;53,6;0,0;44,1;1123;>1000
ГСк 6.3;53,3;0,0;44,6;1028;2
ГСк 6.4 (на;2,2;18,1;2,2;446;109
ГСт);;;;;
ГСк 6.7 (на;1,4;18,9;1,5;188;78
ГСт);;;;;
ГСк 6.7 (на оголовке газовой;52,9;0,3;45,1;1260;>1000
скважины);;;;;
ГСк 6.8;0,3;19,1;0,6;1102;64
